date,Amplitude,Phase Mod
60.02206999999999,110.132622,0.1233997123891939
60.07646999999999,109.946762,0.13263672872696294
60.13125229999999,109.95304099999998,0.14193865887623858
60.186264,109.46583600000001,0.15127954070838
60.24155,109.165146,0.1606669981578257
60.29864499999999,108.91803,0.17036162036012215
60.352869999999996,108.8659,0.179568922031363
60.4104767,108.765251,0.18935042991858708
60.46512,108.191872,0.19862875813273465
60.5203056,108.08175700000001,0.20799916785349915
60.57494739999999,107.956993,0.2172772413705033
60.6288147,107.516281,0.22642380626336234
60.6829872,107.54158000000001,0.23562219353464545
60.7373657,107.498512,0.2448555592133843
60.79246,107.44018600000001,0.25421046636812505
60.8482971,107.396751,0.26369149954742
60.9046478,107.310966,0.27325974102802064
60.96014399999999,107.24681100000001,0.2826828900369183
61.015969999999996,106.79335800000001,0.29216203845736644
61.070274399999995,106.7123,0.30138282209730605
61.12638470000001,106.616768,0.31091024411600543
61.18368,106.5885,0.3206388768766182
61.24013520000001,106.687294,0.33022486225808834
61.2955475,106.523895,0.3396337652068624
61.3537445,106.28549199999999,0.34951550490923644
61.40893000000001,106.257172,0.3588858976501914
61.46439,106.21932199999999,0.3683028999680715
61.520275100000006,106.120949,0.3777920834558994
61.5747147,105.662048,0.38703582379820745
61.62919,105.69663200000001,0.3962856259324887
61.683956099999996,105.63081399999999,0.4055848053526319
61.7391968,105.67617800000001,0.41496457094840267
61.7937851,105.70889299999999,0.4242335602673553
61.848774,105.688538,0.4335705707029405
61.90282439999999,105.630478,0.4427482256268913
61.96110529999999,105.597008,0.4526442113893889
62.01608,105.60165400000001,0.4619788106920364
62.07099,105.62058300000001,0.4713024240579724
62.1278267,105.640266,0.4809531874124726
62.184569999999994,105.63818400000001,0.4905880916249519
62.24,105.622643,0.5
62.29517,105.575546,0.5110054299039692
62.35122679999999,105.6146,0.5221877605735497
62.40729520000001,105.67811599999999,0.5333724052360083
62.46323,105.54976699999999,0.5445303990839783
62.5209122,105.34655,0.5560369680309911
62.5756645,105.352173,0.5669590742432646
62.6312027,105.379539,0.5780379534727853
62.6857948,105.408524,0.5889281026455304
62.74426999999999,105.491226,0.6005928609330162
62.7988739,105.680305,0.611485363995067
62.854366299999995,105.829094,0.6225551069423751
62.91146,106.047028,0.6339442806474374
62.96839,106.25863600000001,0.6453007991254687
63.02431,106.469177,0.6564558406377046
63.0783,106.59484099999999,0.6672258816113352
63.1347,106.7601,0.6784766745528596
63.1897621,106.94241299999999,0.6894605803334546
63.2457542,107.115822,0.7006300045082963
63.301140000000004,107.298538,0.7116784826590177
