date,Amplitude
222.461548,83.75913
222.513336,83.79495
222.566086,83.46264
222.61731,82.8709259
222.668289,82.27457
222.720932,81.51892
222.772339,80.7946243
222.82373,80.06719
222.875488,79.35615
222.926987,78.45888
222.977356,77.50001
223.028809,76.50993
223.080215,76.10773
223.134659,75.8197861
223.187454,75.9287949
223.239319,76.49076
223.290329,76.9373
223.3423,77.44778
223.393982,78.08949
223.447845,78.7597961
223.498947,79.26684
223.549866,79.5837
223.6024,79.86294
223.652954,79.61265
223.705124,79.06213
223.75499,78.45554
223.806686,77.9197
223.857178,77.4621
223.908188,76.9453354
223.95816,76.6012039
224.009476,76.39969
224.06105,76.08189
224.112213,75.4153061
224.163971,74.85724
224.216949,74.58574
224.268875,74.24331
224.320343,73.80335
224.371628,73.62705
224.424133,73.41999
224.475876,73.06957
224.526825,72.96123
224.57695,72.5853348
224.627426,72.45675
224.678635,72.2611
224.729874,72.2037659
224.782761,72.28501
224.834274,71.94461
224.885818,71.7653656
224.936829,71.71132
224.989258,71.69666
225.041153,71.52866
225.093826,71.4765
225.144836,71.44129
225.196426,71.3958359
225.247559,71.3625259
225.298965,71.40393
225.35,71.43878
225.401123,71.46196
225.453827,71.3882141
225.509155,71.4026947
225.5605,71.52549
225.6136,71.5739441
225.66539,71.44558
225.721573,71.42649
225.7725,71.42629
225.824066,71.2475
225.877014,71.13266
225.927963,70.78228
225.97937,70.70892
226.031952,70.67388
226.082275,70.71727
226.13443,70.74023
226.185913,70.9722443
226.240509,71.26252
226.291687,71.69704
226.343231,72.21204
226.39444,72.7345
226.445755,73.29963
226.496674,73.86378
226.548035,74.7466
226.599167,75.2530746
226.649734,76.1831
226.702209,77.1568451
226.755722,77.88006
226.807922,78.96771
226.859009,80.00423
226.9101,80.93704
226.96228,81.71809
227.012924,82.07346
227.064148,82.26383
227.115067,82.2348862
227.1657,81.86791
227.216415,81.2471542
227.267776,80.68823
227.320251,80.08629
227.3709,79.28045
227.422348,78.71778
227.472824,77.88423
227.523941,77.0841446
227.575821,76.6214142
227.62677,75.95726
227.6779,75.30934
227.7286,74.8661652
227.78009,73.99344
227.8327,73.4175
227.883926,73.54246
227.9348,73.82418
227.986862,74.52318
228.038925,75.36307
228.091385,76.25714
228.14447,77.01595
228.199,77.81347
228.251221,78.93624
228.302811,80.11171
228.353592,81.23373
228.40831,82.39614
228.458878,83.47035
228.511337,84.3772049
228.564575,85.12747
228.615677,85.55407
228.666534,85.63308
228.717926,85.25079
228.769058,84.4173355
228.819748,83.7153854
228.869843,83.16276
228.9205,82.5568
228.971527,82.03499
229.0228,81.20685
229.073273,80.51977
229.124374,79.7263
229.175873,79.06449
229.227264,78.72533
229.2788,78.20653
229.330673,77.61076
229.381546,77.5215
229.433945,77.1952
229.487732,77.01841
229.538284,76.85618
229.591049,76.80207
229.642044,76.59169
229.693069,76.57653
229.743942,76.63963
229.794891,76.76034
229.847488,76.94743
229.89975,77.20875
229.952164,77.60059
230.003769,78.07006
230.054764,78.65138
230.106613,79.1953049
230.158752,79.60834
230.209579,80.0638962
230.260788,80.06417
230.311981,79.7628555
230.363785,79.6725845
230.4152,79.24987
230.468185,78.74608
230.519165,78.47738
230.569977,78.16585
230.621582,77.8340149
230.675049,77.48795
230.725754,76.92382
230.776657,76.7549057
230.827164,76.7126
230.877167,76.607254
230.929138,76.25482
230.980209,76.18513
231.033676,76.0814362
231.084915,75.44163
231.1362,75.2425156
231.190292,75.14243
231.240784,74.96497
231.293427,74.5515747
231.344543,74.42121
231.396118,74.36168
231.447525,74.44513
231.501846,74.3490143
231.5529,74.3817749
231.604416,74.5701752
231.656311,74.57103
231.70755,74.527
231.760483,74.60744
231.810974,74.62951
231.863663,74.05034
231.91507,73.6392441
231.96582,73.06007
232.017136,72.7599945
232.070328,72.52773
232.121582,72.1684647
232.213211,
232.288071,73.1894455
232.338455,77.4595947
232.387421,77.30223
232.43512,75.28077
232.483978,81.29358
232.5343,82.39409
232.583237,83.8296051
232.6318,81.52994
232.6804,82.2568741
232.728821,84.65353
232.77803,85.2765656
232.8273,86.85019
232.876,87.92198
232.924774,88.2195053
232.973129,87.84683
233.0218,87.38821
233.070465,87.73886
233.120773,86.54636
233.170258,85.56673
233.220367,85.5623856
233.269852,84.94376
233.319092,84.2956161
233.368408,84.55378
233.4171,83.9476242
233.466736,82.42944
233.520844,81.2387543
233.569016,80.86552
233.619476,76.98801
233.667862,80.94032
233.717377,
233.765839,
233.816833,
233.86499,
233.9134,
233.962967,
234.013092,
234.062836,
234.11235,
234.163147,
234.211426,
234.260284,
234.311844,
